ID,consent,Participant_ID,age,male,female,non-binary,pref not say,license,license_in_years,set1_5_difficulty,set6_10_difficulty,set11_15_difficulty,set16_20_difficulty,set21_25_difficulty,set26_30_difficulty,set31_35_difficulty,avg_difficulty
16,Yes,S8,20.0,Yes,No,No,No,True,2,4.0,5.0,7.0,4.0,5.0,4.0,5.0,4.857142857142857
17,Yes,S5,20.0,No,Yes,No,No,True,1,7.0,4.0,6.0,8.0,7.0,6.0,5.0,6.142857142857143
18,Yes,S6,19.0,No,Yes,No,No,True,1,6.0,3.0,8.0,9.0,7.0,6.0,7.0,6.571428571428571
19,Yes,S8,19.0,No,Yes,No,No,True,0,6.0,4.0,7.0,8.0,7.0,9.0,8.0,7.0
20,Yes,S9,20.0,Yes,No,No,No,True,2,4.0,3.0,4.0,6.0,4.0,5.0,3.0,4.142857142857143
21,Yes,S10,19.0,No,Yes,No,No,True,0,8.0,7.0,5.0,6.0,6.0,6.0,6.0,6.285714285714286
22,Yes,S11,20.0,Yes,No,No,No,False,,2.0,5.0,6.0,7.0,9.0,7.0,8.0,6.285714285714286
23,Yes,E1,22.0,No,Yes,No,No,True,5 years,3.0,6.0,5.0,7.0,8.0,5.0,4.0,5.428571428571429
24,Yes,E2,20.0,No,Yes,No,No,False,,4.0,6.0,6.0,5.0,4.0,7.0,5.0,5.285714285714286
25,Yes,E3,19.0,No,Yes,No,No,True,1,3.0,5.0,7.0,8.0,5.0,5.0,4.0,5.285714285714286
26,Yes,E4,19.0,Yes,No,No,No,False,,3.0,4.0,6.0,7.0,7.0,6.0,6.0,5.571428571428571
27,Yes,E5,21.0,No,Yes,No,No,False,,5.0,6.0,7.0,6.0,7.0,8.0,7.0,6.571428571428571
28,Yes,E6,20.0,No,Yes,No,No,False,,5.0,4.0,4.0,6.0,8.0,9.0,7.0,6.142857142857143
29,Yes,S12,21.0,No,Yes,No,No,False,,3.0,4.0,4.0,3.0,4.0,6.0,4.0,4.0
30,Yes,O5,19.0,Yes,No,No,No,True,3 months,9.0,3.0,3.0,6.0,7.0,3.0,5.0,5.142857142857143
31,Yes,06,25.0,Yes,No,No,No,False,,9.0,2.0,1.0,2.0,3.0,6.0,5.0,4.0
