Participant,Image,Choice,RT,time_condition
Participant,Image,Response,RT,1s
A1,images/image_1.jpg,,1.0,1s
A1,images/image_2.jpg,,1.0,1s
A1,images/image_3.jpg,,1.0,1s
A1,images/image_4.jpg,,1.0,1s
A1,images/image_5.jpg,,1.0,1s
A1,images/image_1.jpg,left,2.4894455999601632,5s
A1,images/image_2.jpg,up,1.847788699902594,5s
A1,images/image_3.jpg,up,1.0355849000625312,5s
A1,images/image_4.jpg,left,3.861725599970669,5s
A1,images/image_5.jpg,left,4.446655699983239,5s
A1,images/image_6.jpg,left,0.8444669999880716,1s
A1,images/image_7.jpg,,1.0,1s
A1,images/image_8.jpg,,1.0,1s
A1,images/image_9.jpg,up,0.0038850000128149,1s
A1,images/image_10.jpg,,1.0,1s
A1,images/image_6.jpg,left,1.4317006999626756,5s
A1,images/image_7.jpg,left,1.000849699950777,5s
A1,images/image_8.jpg,left,1.0660675000399351,5s
A1,images/image_9.jpg,left,3.928826600080356,5s
A1,images/image_10.jpg,left,0.9503379000816494,5s
A1,images/image_11.jpg,,1.0,1s
A1,images/image_12.jpg,left,0.0044333999976515,1s
A1,images/image_13.jpg,left,0.1348796000238508,1s
A1,images/image_14.jpg,left,0.5002428999869153,1s
A1,images/image_15.jpg,left,0.8213422000408173,1s
A1,images/image_11.jpg,left,0.9272261000005528,5s
A1,images/image_12.jpg,left,0.5901593000162393,5s
A1,images/image_13.jpg,left,2.001362899900414,5s
A1,images/image_14.jpg,left,0.7024582999292761,5s
A1,images/image_15.jpg,up,1.4738611000357196,5s
A1,images/image_16.jpg,left,0.9128929000580684,1s
A1,images/image_17.jpg,left,0.8097145999781787,1s
A1,images/image_18.jpg,,1.0,1s
A1,images/image_19.jpg,left,0.8060520000290126,1s
A1,images/image_20.jpg,,1.0,1s
A1,images/image_16.jpg,left,0.860317200073041,5s
A1,images/image_17.jpg,left,0.7852000000420958,5s
A1,images/image_18.jpg,left,0.9838373000966384,5s
A1,images/image_19.jpg,left,1.3373420999851078,5s
A1,images/image_20.jpg,left,1.2268580000381917,5s
A1,images/image_21.jpg,left,0.1136883000144735,1s
A1,images/image_22.jpg,left,0.3855658000102266,1s
A1,images/image_23.jpg,left,0.9166304999962448,1s
A1,images/image_24.jpg,left,0.7948394999839365,1s
A1,images/image_25.jpg,,1.0,1s
